x,y,z
2.00000,25.00000,0.00000
2.00000,26.00000,0.00000
2.00000,27.00000,0.00000
2.00000,28.00000,0.00000
2.00000,29.00000,0.00000
2.00000,30.00000,0.00000
2.00000,31.00000,0.00000
2.00000,32.00000,0.00000
2.00000,33.00000,0.00000
2.00000,34.00000,0.00000
2.00000,35.00000,0.00000
2.00000,36.00000,0.00000
2.00000,38.00000,0.00000
2.00000,39.00000,0.00000
2.00000,40.00000,0.00000
2.00000,42.00000,0.00000
2.00000,43.00000,0.00000
2.00000,44.00000,0.00000
2.00000,45.00000,0.00000
2.00000,46.00000,0.00000
-1.00000,-1.00000,-138.00000
3.00000,0.00000,0.00000
3.00000,1.00000,0.00000
3.00000,2.00000,0.00000
3.00000,3.00000,0.00000
3.00000,4.00000,0.00000
3.00000,5.00000,0.00000
3.00000,6.00000,0.00000
3.00000,7.00000,0.00000
3.00000,8.00000,0.00000
3.00000,9.00000,0.00000
3.00000,0.59800,0.00000
3.00000,10.00000,0.00000
3.00000,12.00000,0.00000
3.00000,13.00000,0.00000
3.00000,14.00000,0.00000
3.00000,15.00000,0.00000
3.00000,16.00000,0.00000
3.00000,17.00000,0.00000
3.00000,18.00000,0.00000
3.00000,19.00000,0.00000
3.00000,20.00000,0.00000
3.00000,21.00000,0.00000
3.00000,22.00000,0.00000
3.00000,23.00000,0.00000
3.88520,22.88520,0.88520
3.00000,25.00000,0.00000
4.88230,23.88230,1.88230
3.00000,27.00000,0.00000
5.08650,24.08650,2.08650
3.00000,29.00000,0.00000
5.54410,24.54410,2.54410
3.00000,31.00000,0.00000
5.64590,24.64590,2.64590
3.00000,33.00000,0.00000
6.60200,25.60200,3.60200
3.00000,35.00000,0.00000
7.33510,26.33510,4.33510
3.00000,37.00000,0.00000
7.57940,26.57940,4.57940
3.00000,39.00000,0.00000
8.37450,27.37450,5.37450
3.00000,41.00000,0.00000
9.33980,28.33980,6.33980
3.00000,43.00000,0.00000
3.00000,44.00000,0.00000
3.00000,45.00000,0.00000
-1.00000,-1.00000,-137.00000
4.00000,0.00000,0.00000
4.00000,0.69700,0.00000
4.00000,1.00000,0.00000
4.00000,2.00000,0.00000
4.00000,3.00000,0.00000
4.00000,4.00000,0.00000
4.00000,5.00000,0.00000
4.00000,6.00000,0.00000
4.00000,7.00000,0.00000
4.00000,8.00000,0.00000
4.00000,9.00000,0.00000
4.00000,10.00000,0.00000
4.00000,11.00000,0.00000
4.00000,12.00000,0.00000
4.00000,13.00000,0.00000
4.00000,14.00000,0.00000
4.00000,15.00000,0.00000
4.00000,16.00000,0.00000
4.00000,17.00000,0.00000
4.00000,18.00000,0.00000
4.00000,19.00000,0.00000
4.00000,20.00000,0.00000
4.00000,21.00000,0.00000
4.00000,23.00000,0.00000
4.00000,24.00000,0.00000
4.73050,23.73050,0.73050
4.00000,27.00000,0.00000
4.00000,29.00000,0.00000
4.00000,32.00000,0.00000
4.00000,33.00000,0.00000
4.00000,34.00000,0.00000
4.00000,35.00000,0.00000
4.00000,36.00000,0.00000
4.00000,37.00000,0.00000
4.00000,38.00000,0.00000
4.00000,39.00000,0.00000
4.00000,40.00000,0.00000
4.00000,41.00000,0.00000
4.00000,43.00000,0.00000
4.00000,44.00000,0.00000
5.00000,1.00000,0.00000
5.00000,2.00000,0.00000
5.00000,4.00000,0.00000
5.00000,5.00000,0.00000
5.00000,6.00000,0.00000
5.00000,7.00000,0.00000
5.00000,8.00000,0.00000
5.00000,9.00000,0.00000
5.00000,10.00000,0.00000
5.00000,11.00000,0.00000
5.00000,12.00000,0.00000
5.00000,13.00000,0.00000
5.00000,14.00000,0.00000
5.00000,15.00000,0.00000
5.00000,16.00000,0.00000
5.00000,17.00000,0.00000
5.00000,18.00000,0.00000
5.00000,19.00000,0.00000
5.00000,20.00000,0.00000
5.00000,22.00000,0.00000
5.00000,24.00000,0.00000
5.00000,25.00000,0.00000
5.00000,26.00000,0.00000
5.00000,27.00000,0.00000
5.00000,28.00000,0.00000
5.00000,29.00000,0.00000
5.00000,30.00000,0.00000
5.00000,31.00000,0.00000
5.00000,32.00000,0.00000
5.00000,33.00000,0.00000
5.00000,34.00000,0.00000
5.00000,35.00000,0.00000
5.00000,36.00000,0.00000
5.00000,37.00000,0.00000
5.00000,38.00000,0.00000
5.00000,39.00000,0.00000
5.00000,41.00000,0.00000
5.00000,42.00000,0.00000
5.00000,43.00000,0.00000
5.00000,44.00000,0.00000
6.00000,1.00000,0.00000
6.00000,2.00000,0.00000
6.00000,3.00000,0.00000
6.00000,4.00000,0.00000
6.00000,5.00000,0.00000
6.00000,6.00000,0.00000
6.00000,6.90300,0.00000
6.00000,7.00000,0.00000
6.00000,9.00000,0.00000
6.00000,10.00000,0.00000
6.00000,11.00000,0.00000
6.00000,12.00000,0.00000
6.00000,13.00000,0.00000
6.00000,14.00000,0.00000
6.00000,15.00000,0.00000
6.00000,16.00000,0.00000
6.00000,17.00000,0.00000
6.00000,18.00000,0.00000
6.00000,19.00000,0.00000
6.00000,20.00000,0.00000
6.00000,21.00000,0.00000
6.00000,22.00000,0.00000
6.00000,23.00000,0.00000
6.00000,24.00000,0.00000
6.00000,24.95000,0.00000
6.00000,25.00000,0.00000
6.00000,27.00000,0.00000
6.00000,28.95800,0.00000
6.00000,29.00000,0.00000
6.00000,31.00000,0.00000
6.00000,32.96100,0.00000
6.00000,33.00000,0.00000
6.00000,34.00000,0.00000
6.00000,35.00000,0.00000
6.00000,36.00000,0.00000
6.00000,37.00000,0.00000
6.00000,38.00000,0.00000
6.00000,39.00000,0.00000
6.00000,40.00000,0.00000
6.00000,41.00000,0.00000
6.00000,42.00000,0.00000
6.00000,43.00000,0.00000
6.00000,44.00000,0.00000
7.00000,0.00000,0.00000
7.53100,0.53100,0.53100
7.00000,2.00000,0.00000
7.96740,0.96740,0.96740
7.00000,4.00000,0.00000
8.53020,1.53020,1.53020
7.02280,4.02280,0.02280
8.95980,1.95980,1.95980
7.94420,4.94420,0.94420
7.00000,9.00000,0.00000
8.12540,5.12540,1.12540
7.00000,10.10000,0.00000
7.00000,11.00000,0.00000
7.00000,13.00000,0.00000
9.73280,6.73280,2.73280
7.00000,15.00000,0.00000
9.94600,6.94600,2.94600
7.00000,17.00000,0.00000
10.22350,7.22350,3.22350
7.00000,19.10090,0.00000
11.49970,8.49970,4.49970
7.00000,23.00000,0.00000
11.84800,8.84800,4.84800
7.00000,25.00000,0.00000
12.29590,9.29590,5.29590
13.12410,10.12410,6.12410
7.00000,29.00000,0.00000
13.28870,10.28870,6.28870
7.00000,31.00000,0.00000
13.40200,10.40200,6.40200
7.00000,33.00000,0.00000
13.50190,10.50190,6.50190
7.00000,35.00000,0.00000
13.68660,10.68660,6.68660
7.00000,37.00000,0.00000
14.51300,11.51300,7.51300
7.00000,39.00000,0.00000
15.24290,12.24290,8.24290
7.00000,41.00000,0.00000
7.00000,43.00000,0.00000
8.00000,0.00000,0.00000
8.00000,1.00000,0.00000
